epoch, time     , train/box_loss, train/cls_loss, train/dfl_loss, metrics/precision(B), metrics/recall(B), metrics/mAP50(B), metrics/mAP50-95(B), val/box_loss, val/cls_loss, val/dfl_loss, lr/pg0   , lr/pg1     , lr/pg2
    1,   3488.53,        0.95624,        0.65322,        0.97682,              0.6891 ,           0.43275,          0.45808,             0.36756,      0.74955,      0.44089,      0.91468, 0.0671755, 0.00033156 , 0.00033156
    2,   6080.66,        0.84284,        0.48114,        0.93089,              0.52111,           0.75484,          0.61727,             0.49641,      0.73475,      0.39417,      0.91136, 0.0341624, 0.000651729, 0.000651729
    3,   8586.31,        0.80827,        0.44501,        0.92189,              0.63251,           0.77217,          0.71212,             0.57726,      0.72726,      0.37762,      0.90719, 0.001136 , 0.000958697, 0.000958697
    4,  11075.8 ,        0.78463,        0.42029,        0.91398,              0.55088,           0.68649,          0.66881,             0.54165,      0.7652 ,      0.36566,      0.92161, 0.0009406, 0.0009406  , 0.0009406
    5,  13525.4 ,        0.77183,        0.40932,        0.91052,              0.57791,           0.733  ,          0.69239,             0.57874,      0.7144 ,      0.35228,      0.90592, 0.0009208, 0.0009208  , 0.0009208
    6,  15986   ,        0.77893,        0.40017,        0.91496,              0.57835,           0.75357,          0.71614,             0.59959,      0.70781,      0.33729,      0.90172, 0.000901 , 0.000901   , 0.000901
    7,  18329.7 ,        0.7534 ,        0.3871 ,        0.90818,              0.56366,           0.74486,          0.72902,             0.6017 ,      0.7022 ,      0.32941,      0.89933, 0.0008812, 0.0008812  , 0.0008812
    8,  20779.8 ,        0.73856,        0.37801,        0.90486,              0.60903,           0.76955,          0.72   ,             0.60689,      0.70346,      0.32975,      0.90044, 0.0008614, 0.0008614  , 0.0008614
    9,  23043.1 ,        0.73228,        0.37637,        0.90135,              0.59082,           0.79554,          0.7341 ,             0.621  ,      0.69878,      0.3204 ,      0.90025, 0.0008416, 0.0008416  , 0.0008416
   10,  25862.8 ,        0.73201,        0.37024,        0.90281,              0.71086,           0.80173,          0.78736,             0.66212,      0.69175,      0.30951,      0.89833, 0.0008218, 0.0008218  , 0.0008218
   11,  29138.3 ,        0.72534,        0.36268,        0.90168,              0.75085,           0.75641,          0.78338,             0.65576,      0.69514,      0.32312,      0.89707, 0.000802 , 0.000802   , 0.000802
   12,  35898.7 ,        0.72438,        0.35899,        0.9009 ,              0.71907,           0.78244,          0.78799,             0.66174,      0.69311,      0.309  ,      0.89879, 0.0007822, 0.0007822  , 0.0007822
   13,  38647.8 ,        0.71535,        0.35363,        0.89898,              0.7206 ,           0.73935,          0.75672,             0.63371,      0.68932,      0.31607,      0.89624, 0.0007624, 0.0007624  , 0.0007624
   14,  40942.8 ,        0.71633,        0.35341,        0.8951 ,              0.65949,           0.77239,          0.76234,             0.64416,      0.72796,      0.3098 ,      0.90868, 0.0007426, 0.0007426  , 0.0007426
   15,  43159.5 ,        0.71463,        0.34847,        0.89701,              0.68254,           0.76489,          0.79933,             0.66078,      0.69568,      0.30688,      0.89928, 0.0007228, 0.0007228  , 0.0007228
   16,  45357.9 ,        0.70706,        0.34736,        0.89753,              0.65947,           0.71687,          0.77335,             0.65128,      0.68288,      0.30699,      0.89476, 0.000703 , 0.000703   , 0.000703
   17,  47552.2 ,        0.70184,        0.34414,        0.89486,              0.72259,           0.76166,          0.81301,             0.6804 ,      0.68974,      0.30066,      0.89539, 0.0006832, 0.0006832  , 0.0006832
   18,  49757.1 ,        0.69859,        0.34088,        0.89372,              0.78099,           0.72896,          0.80095,             0.68125,      0.68105,      0.29036,      0.89506, 0.0006634, 0.0006634  , 0.0006634
   19,  51971.8 ,        0.70041,        0.33766,        0.89527,              0.76375,           0.75833,          0.7978 ,             0.66402,      0.69287,      0.29998,      0.89667, 0.0006436, 0.0006436  , 0.0006436
   20,  54271.2 ,        0.69338,        0.33487,        0.89263,              0.70264,           0.7914 ,          0.80675,             0.67732,      0.68006,      0.2935 ,      0.89343, 0.0006238, 0.0006238  , 0.0006238
   21,  56514.9 ,        0.68935,        0.33092,        0.88903,              0.73308,           0.8258 ,          0.83002,             0.69684,      0.67383,      0.28544,      0.89148, 0.000604 , 0.000604   , 0.000604
   22,  58750.7 ,        0.68545,        0.33071,        0.88945,              0.72788,           0.79994,          0.83085,             0.70245,      0.67774,      0.29437,      0.89256, 0.0005842, 0.0005842  , 0.0005842
   23,  61155.1 ,        0.68877,        0.32841,        0.88989,              0.72559,           0.79035,          0.81415,             0.68926,      0.67989,      0.2921 ,      0.89411, 0.0005644, 0.0005644  , 0.0005644
   24,  63573.5 ,        0.68318,        0.32455,        0.89003,              0.74938,           0.78661,          0.82383,             0.69682,      0.68022,      0.28711,      0.89239, 0.0005446, 0.0005446  , 0.0005446
   25,  66028.6 ,        0.68663,        0.32655,        0.88924,              0.68544,           0.8002 ,          0.7944 ,             0.67629,      0.66998,      0.28541,      0.88868, 0.0005248, 0.0005248  , 0.0005248
   26,  69885.8 ,        0.68316,        0.32343,        0.89088,              0.79546,           0.79771,          0.83715,             0.71037,      0.67256,      0.28323,      0.89036, 0.000505 , 0.000505   , 0.000505
   27,  76332.1 ,        0.67837,        0.31966,        0.8904 ,              0.84757,           0.74887,          0.84114,             0.71285,      0.67093,      0.28174,      0.89122, 0.0004852, 0.0004852  , 0.0004852
   28,  80544.7 ,        0.67109,        0.31869,        0.88532,              0.78338,           0.78926,          0.83245,             0.70029,      0.67037,      0.27851,      0.89104, 0.0004654, 0.0004654  , 0.0004654
   29,  83976.8 ,        0.67024,        0.31547,        0.88804,              0.73811,           0.78624,          0.81886,             0.69714,      0.67676,      0.28229,      0.89175, 0.0004456, 0.0004456  , 0.0004456
   30,  86826.5 ,        0.66945,        0.31494,        0.88614,              0.79684,           0.76627,          0.82936,             0.69862,      0.6658 ,      0.27821,      0.88833, 0.0004258, 0.0004258  , 0.0004258
   31,  90109.1 ,        0.66235,        0.31046,        0.88405,              0.76358,           0.7943 ,          0.83598,             0.70717,      0.6689 ,      0.28099,      0.88929, 0.000406 , 0.000406   , 0.000406
   32,  92967.4 ,        0.66489,        0.31095,        0.88276,              0.76507,           0.83653,          0.83707,             0.71557,      0.66085,      0.27203,      0.88658, 0.0003862, 0.0003862  , 0.0003862
   33,  96562.1 ,        0.65786,        0.30714,        0.88639,              0.77112,           0.80156,          0.83331,             0.70703,      0.66689,      0.27544,      0.88801, 0.0003664, 0.0003664  , 0.0003664
   34, 100329   ,        0.65729,        0.30638,        0.8835 ,              0.76261,           0.8064 ,          0.83686,             0.71078,      0.66885,      0.27084,      0.89087, 0.0003466, 0.0003466  , 0.0003466
   35, 103152   ,        0.65293,        0.30196,        0.88056,              0.82442,           0.7968 ,          0.85692,             0.72908,      0.66294,      0.2712 ,      0.88829, 0.0003268, 0.0003268  , 0.0003268
   36, 105926   ,        0.65098,        0.29914,        0.88177,              0.77472,           0.81124,          0.83952,             0.71348,      0.6614 ,      0.27058,      0.88757, 0.000307 , 0.000307   , 0.000307
   37, 109189   ,        0.65798,        0.29875,        0.8818 ,              0.88418,           0.74536,          0.84099,             0.71049,      0.65995,      0.26843,      0.88763, 0.0002872, 0.0002872  , 0.0002872
   38, 112659   ,        0.64564,        0.29315,        0.8768 ,              0.81367,           0.78193,          0.84392,             0.71838,      0.66232,      0.26587,      0.88756, 0.0002674, 0.0002674  , 0.0002674
   39, 116159   ,        0.63985,        0.29138,        0.87536,              0.8459 ,           0.76036,          0.84212,             0.71193,      0.66425,      0.26628,      0.8883 , 0.0002476, 0.0002476  , 0.0002476
   40, 119881   ,        0.64141,        0.29252,        0.8776 ,              0.79374,           0.76922,          0.83124,             0.71087,      0.66588,      0.27059,      0.88968, 0.0002278, 0.0002278  , 0.0002278
   41, 122281   ,        0.64383,        0.29373,        0.9015 ,              0.79695,           0.78832,          0.83472,             0.7086 ,      0.66774,      0.27242,      0.89036, 0.000208 , 0.000208   , 0.000208
   42, 125022   ,        0.63729,        0.28558,        0.89595,              0.83594,           0.75141,          0.83249,             0.7049 ,      0.66193,      0.26896,      0.88836, 0.0001882, 0.0001882  , 0.0001882
   43, 127697   ,        0.63465,        0.28226,        0.89548,              0.76748,           0.80151,          0.83673,             0.705  ,      0.6634 ,      0.26586,      0.8882 , 0.0001684, 0.0001684  , 0.0001684
   44, 130267   ,        0.62601,        0.27838,        0.89256,              0.82671,           0.77603,          0.82946,             0.70215,      0.66174,      0.26763,      0.88914, 0.0001486, 0.0001486  , 0.0001486
   45, 132863   ,        0.62232,        0.27484,        0.89276,              0.79888,           0.79282,          0.8419 ,             0.70824,      0.665  ,      0.2648 ,      0.89058, 0.0001288, 0.0001288  , 0.0001288
